,Open,High,Low,Close,Adj Close,Volume,Date,company
0,20.540001,20.66,19.59,20.110001,19.765102,350300.0,2021-07-06T00:00:00,ADTN
1,20.110001,20.43,19.219999,19.42,19.086935,270000.0,2021-07-07T00:00:00,ADTN
2,18.93,19.33,18.24,19.18,18.851051,190300.0,2021-07-08T00:00:00,ADTN
3,19.24,19.799999,19.209999,19.700001,19.362133,114900.0,2021-07-09T00:00:00,ADTN
4,19.66,19.9,19.299999,19.48,19.145905,129500.0,2021-07-12T00:00:00,ADTN
5,19.41,19.41,19.02,19.209999,18.880535,185500.0,2021-07-13T00:00:00,ADTN
6,19.540001,20.040001,19.280001,19.67,19.332645,371900.0,2021-07-14T00:00:00,ADTN
7,19.41,19.549999,18.98,19.15,18.821566,145900.0,2021-07-15T00:00:00,ADTN
8,19.32,19.32,18.440001,18.459999,18.143402,151800.0,2021-07-16T00:00:00,ADTN
9,18.01,19.200001,17.530001,19.190001,18.860882,479800.0,2021-07-19T00:00:00,ADTN
10,19.309999,20.67,19.18,20.43,20.079613,517400.0,2021-07-20T00:00:00,ADTN
11,20.26,21.469999,19.940001,21.43,21.062464,386100.0,2021-07-21T00:00:00,ADTN
12,21.200001,21.43,20.27,21.290001,20.924864,438300.0,2021-07-22T00:00:00,ADTN
13,21.370001,22.190001,21.32,22.15,21.770113,305100.0,2021-07-23T00:00:00,ADTN
14,22.25,22.889999,22.16,22.76,22.369652,484500.0,2021-07-26T00:00:00,ADTN
15,22.68,22.719999,22.049999,22.309999,21.92737,576300.0,2021-07-27T00:00:00,ADTN
16,22.35,22.559999,21.700001,22.049999,21.671831,327400.0,2021-07-28T00:00:00,ADTN
17,22.290001,22.809999,22.190001,22.6,22.212399,200300.0,2021-07-29T00:00:00,ADTN
18,22.370001,22.59,22.08,22.41,22.025656,291200.0,2021-07-30T00:00:00,ADTN
19,22.450001,22.629999,21.59,21.709999,21.337662,313300.0,2021-08-02T00:00:00,ADTN
20,21.700001,22.25,21.280001,22.129999,21.750456,419400.0,2021-08-03T00:00:00,ADTN
21,21.889999,22.41,21.73,21.99,21.61286,344900.0,2021-08-04T00:00:00,ADTN
22,22.5,22.5,20.709999,21.700001,21.327833,559900.0,2021-08-05T00:00:00,ADTN
23,22.450001,23.58,22.450001,23.530001,23.126446,579500.0,2021-08-06T00:00:00,ADTN
24,23.629999,24.360001,23.379999,23.610001,23.205078,465600.0,2021-08-09T00:00:00,ADTN
25,23.52,23.799999,23.209999,23.469999,23.067472,233600.0,2021-08-10T00:00:00,ADTN
26,23.549999,23.549999,23.08,23.35,22.949535,237400.0,2021-08-11T00:00:00,ADTN
27,23.42,23.48,22.92,23.440001,23.037991,252600.0,2021-08-12T00:00:00,ADTN
28,23.459999,23.469999,23.01,23.41,23.008507,221700.0,2021-08-13T00:00:00,ADTN
29,23.299999,23.91,23.030001,23.799999,23.391815,275100.0,2021-08-16T00:00:00,ADTN
30,23.59,23.620001,22.969999,23.190001,22.792278,215500.0,2021-08-17T00:00:00,ADTN
31,23.1,23.450001,22.870001,23.030001,22.723211,220000.0,2021-08-18T00:00:00,ADTN
32,22.809999,23.280001,22.58,22.879999,22.575209,323000.0,2021-08-19T00:00:00,ADTN
33,22.809999,22.959999,22.4,22.799999,22.496273,252800.0,2021-08-20T00:00:00,ADTN
34,22.99,23.809999,22.99,23.48,23.167215,309300.0,2021-08-23T00:00:00,ADTN
35,23.48,23.77,23.17,23.51,23.196815,215600.0,2021-08-24T00:00:00,ADTN
36,23.540001,23.879999,23.459999,23.57,23.256016,234500.0,2021-08-25T00:00:00,ADTN
37,23.629999,24.049999,23.389999,23.75,23.43362,207200.0,2021-08-26T00:00:00,ADTN
38,23.74,24.76,23.709999,24.57,24.242695,340200.0,2021-08-27T00:00:00,ADTN
39,22.98,22.98,20.389999,20.51,20.23678,2670800.0,2021-08-30T00:00:00,ADTN
40,20.52,21.389999,20.299999,20.66,20.384783,1559200.0,2021-08-31T00:00:00,ADTN
41,20.790001,21.18,20.25,20.709999,20.434114,786400.0,2021-09-01T00:00:00,ADTN
42,20.879999,20.879999,20.35,20.719999,20.443983,611600.0,2021-09-02T00:00:00,ADTN
43,20.700001,20.85,20.379999,20.549999,20.276247,312600.0,2021-09-03T00:00:00,ADTN
44,20.42,20.530001,19.959999,20.08,19.81251,327900.0,2021-09-07T00:00:00,ADTN
45,20.0,20.1,19.76,20.0,19.733574,364400.0,2021-09-08T00:00:00,ADTN
46,20.030001,20.450001,19.799999,20.139999,19.871708,265900.0,2021-09-09T00:00:00,ADTN
47,20.139999,20.15,19.559999,19.6,19.338902,220900.0,2021-09-10T00:00:00,ADTN
48,19.799999,19.809999,19.360001,19.719999,19.457304,242000.0,2021-09-13T00:00:00,ADTN
49,19.709999,19.85,19.040001,19.35,19.092234,404200.0,2021-09-14T00:00:00,ADTN
50,19.309999,19.540001,18.91,19.530001,19.269835,324600.0,2021-09-15T00:00:00,ADTN
51,19.389999,19.549999,19.17,19.440001,19.181036,201400.0,2021-09-16T00:00:00,ADTN
