,Open,High,Low,Close,Adj Close,Volume,Date,company
0,15.46,15.56,14.91,15.25,15.25,249700.0,2021-07-06T00:00:00,AMBC
1,15.15,15.43,15.12,15.23,15.23,157400.0,2021-07-07T00:00:00,AMBC
2,14.99,15.38,14.9,15.08,15.08,247200.0,2021-07-08T00:00:00,AMBC
3,15.22,15.46,15.2,15.28,15.28,162600.0,2021-07-09T00:00:00,AMBC
4,15.24,15.62,15.12,15.6,15.6,333000.0,2021-07-12T00:00:00,AMBC
5,15.5,15.71,14.88,14.97,14.97,430000.0,2021-07-13T00:00:00,AMBC
6,15.0,15.45,14.67,15.08,15.08,2687900.0,2021-07-14T00:00:00,AMBC
7,14.91,15.25,14.9,15.1,15.1,269200.0,2021-07-15T00:00:00,AMBC
8,15.23,15.23,14.57,14.68,14.68,930600.0,2021-07-16T00:00:00,AMBC
9,14.49,14.6,14.0,14.29,14.29,484400.0,2021-07-19T00:00:00,AMBC
10,14.29,14.47,14.12,14.14,14.14,654800.0,2021-07-20T00:00:00,AMBC
11,14.3,14.52,14.16,14.3,14.3,558800.0,2021-07-21T00:00:00,AMBC
12,14.38,14.38,13.8,13.95,13.95,275700.0,2021-07-22T00:00:00,AMBC
13,13.92,14.08,13.73,13.97,13.97,390800.0,2021-07-23T00:00:00,AMBC
14,14.09,14.66,14.07,14.61,14.61,562000.0,2021-07-26T00:00:00,AMBC
15,14.53,14.72,14.32,14.41,14.41,281400.0,2021-07-27T00:00:00,AMBC
16,14.45,14.61,13.96,14.38,14.38,399200.0,2021-07-28T00:00:00,AMBC
17,14.48,14.94,14.39,14.59,14.59,269000.0,2021-07-29T00:00:00,AMBC
18,14.47,14.7,14.46,14.52,14.52,219400.0,2021-07-30T00:00:00,AMBC
19,14.59,14.86,14.59,14.7,14.7,394300.0,2021-08-02T00:00:00,AMBC
20,14.8,14.8,14.5,14.62,14.62,220400.0,2021-08-03T00:00:00,AMBC
21,14.4,14.69,14.4,14.5,14.5,310200.0,2021-08-04T00:00:00,AMBC
22,14.47,14.92,14.45,14.63,14.63,252700.0,2021-08-05T00:00:00,AMBC
23,14.01,14.65,13.42,13.97,13.97,527100.0,2021-08-06T00:00:00,AMBC
24,13.81,14.69,13.77,14.32,14.32,449400.0,2021-08-09T00:00:00,AMBC
25,14.25,14.69,14.21,14.35,14.35,199900.0,2021-08-10T00:00:00,AMBC
26,14.31,14.49,14.19,14.39,14.39,152500.0,2021-08-11T00:00:00,AMBC
27,14.41,14.54,14.2,14.29,14.29,406600.0,2021-08-12T00:00:00,AMBC
28,14.25,14.45,14.15,14.31,14.31,173200.0,2021-08-13T00:00:00,AMBC
29,14.2,14.4,14.06,14.39,14.39,204800.0,2021-08-16T00:00:00,AMBC
30,14.27,14.37,13.82,13.9,13.9,281000.0,2021-08-17T00:00:00,AMBC
31,13.84,14.01,13.7,13.86,13.86,215900.0,2021-08-18T00:00:00,AMBC
32,13.81,13.93,13.62,13.66,13.66,215100.0,2021-08-19T00:00:00,AMBC
33,13.6,13.95,13.53,13.69,13.69,221700.0,2021-08-20T00:00:00,AMBC
34,13.75,13.99,13.68,13.91,13.91,141700.0,2021-08-23T00:00:00,AMBC
35,13.9,14.08,13.77,13.97,13.97,197900.0,2021-08-24T00:00:00,AMBC
36,13.96,14.23,13.9,14.03,14.03,214400.0,2021-08-25T00:00:00,AMBC
37,14.05,14.13,13.85,14.03,14.03,315500.0,2021-08-26T00:00:00,AMBC
38,14.1,14.4,14.01,14.35,14.35,235600.0,2021-08-27T00:00:00,AMBC
39,14.38,14.38,13.99,14.2,14.2,222500.0,2021-08-30T00:00:00,AMBC
40,14.15,14.24,13.94,14.09,14.09,281100.0,2021-08-31T00:00:00,AMBC
41,14.2,14.51,13.97,14.22,14.22,216800.0,2021-09-01T00:00:00,AMBC
42,14.25,14.26,14.01,14.06,14.06,123100.0,2021-09-02T00:00:00,AMBC
43,14.0,14.04,13.75,13.97,13.97,172900.0,2021-09-03T00:00:00,AMBC
44,13.94,14.09,13.75,13.77,13.77,161100.0,2021-09-07T00:00:00,AMBC
45,13.75,13.87,13.67,13.83,13.83,146200.0,2021-09-08T00:00:00,AMBC
46,13.81,13.88,13.68,13.69,13.69,152800.0,2021-09-09T00:00:00,AMBC
47,13.77,13.79,13.48,13.5,13.5,200200.0,2021-09-10T00:00:00,AMBC
48,13.66,13.85,13.47,13.78,13.78,190900.0,2021-09-13T00:00:00,AMBC
49,13.81,13.81,13.55,13.61,13.61,172000.0,2021-09-14T00:00:00,AMBC
50,13.66,13.72,13.59,13.62,13.62,227200.0,2021-09-15T00:00:00,AMBC
51,13.62,13.62,13.4,13.51,13.51,195900.0,2021-09-16T00:00:00,AMBC
52,13.49,13.66,13.25,13.49,13.49,557900.0,2021-09-17T00:00:00,AMBC
53,13.24,13.5,13.09,13.47,13.47,284500.0,2021-09-20T00:00:00,AMBC
