,Open,High,Low,Close,Adj Close,Volume,Date,company
0,6.74,6.77,6.5,6.58,6.58,364000.0,2021-07-06T00:00:00,ARLO
1,6.55,6.55,6.33,6.42,6.42,513100.0,2021-07-07T00:00:00,ARLO
2,6.25,6.37,6.09,6.23,6.23,619100.0,2021-07-08T00:00:00,ARLO
3,6.27,6.29,6.12,6.27,6.27,383800.0,2021-07-09T00:00:00,ARLO
4,6.21,6.31,6.06,6.31,6.31,369400.0,2021-07-12T00:00:00,ARLO
5,6.22,6.24,6.02,6.03,6.03,475600.0,2021-07-13T00:00:00,ARLO
6,6.04,6.15,5.91,5.97,5.97,1624700.0,2021-07-14T00:00:00,ARLO
7,6.99,7.0,6.26,6.39,6.39,5516400.0,2021-07-15T00:00:00,ARLO
8,6.37,6.42,5.94,5.94,5.94,1820800.0,2021-07-16T00:00:00,ARLO
9,5.75,6.24,5.73,6.14,6.14,1398900.0,2021-07-19T00:00:00,ARLO
10,6.16,6.38,6.04,6.26,6.26,1053700.0,2021-07-20T00:00:00,ARLO
11,6.21,6.7,6.21,6.64,6.64,1259600.0,2021-07-21T00:00:00,ARLO
12,6.61,6.62,6.26,6.28,6.28,722400.0,2021-07-22T00:00:00,ARLO
13,6.26,6.31,6.13,6.24,6.24,560900.0,2021-07-23T00:00:00,ARLO
14,6.27,6.41,6.22,6.32,6.32,611300.0,2021-07-26T00:00:00,ARLO
15,6.25,6.3,5.92,6.13,6.13,951300.0,2021-07-27T00:00:00,ARLO
16,6.14,6.39,6.13,6.28,6.28,611300.0,2021-07-28T00:00:00,ARLO
17,6.32,6.41,6.23,6.29,6.29,507300.0,2021-07-29T00:00:00,ARLO
18,6.23,6.32,6.1,6.11,6.11,572000.0,2021-07-30T00:00:00,ARLO
19,6.13,6.27,6.12,6.24,6.24,650800.0,2021-08-02T00:00:00,ARLO
20,6.29,6.31,6.14,6.19,6.19,677300.0,2021-08-03T00:00:00,ARLO
21,6.1,6.23,6.05,6.12,6.12,906600.0,2021-08-04T00:00:00,ARLO
22,6.08,6.08,5.5,6.03,6.03,2628600.0,2021-08-05T00:00:00,ARLO
23,5.99,6.04,5.82,5.98,5.98,992900.0,2021-08-06T00:00:00,ARLO
24,5.9,6.12,5.85,6.08,6.08,980300.0,2021-08-09T00:00:00,ARLO
25,6.08,6.34,6.07,6.25,6.25,1065700.0,2021-08-10T00:00:00,ARLO
26,6.23,6.3,6.06,6.11,6.11,870400.0,2021-08-11T00:00:00,ARLO
27,6.05,6.16,5.99,6.12,6.12,646800.0,2021-08-12T00:00:00,ARLO
28,6.14,6.19,5.96,5.97,5.97,498300.0,2021-08-13T00:00:00,ARLO
29,5.97,5.99,5.78,5.78,5.78,706000.0,2021-08-16T00:00:00,ARLO
30,5.7,5.76,5.57,5.58,5.58,952900.0,2021-08-17T00:00:00,ARLO
31,5.63,5.8,5.58,5.68,5.68,530900.0,2021-08-18T00:00:00,ARLO
32,5.6,5.67,5.52,5.56,5.56,594800.0,2021-08-19T00:00:00,ARLO
33,5.53,5.79,5.52,5.73,5.73,635200.0,2021-08-20T00:00:00,ARLO
34,5.79,5.94,5.78,5.88,5.88,529500.0,2021-08-23T00:00:00,ARLO
35,5.9,6.02,5.88,5.98,5.98,496300.0,2021-08-24T00:00:00,ARLO
36,5.98,6.22,5.96,6.1,6.1,822700.0,2021-08-25T00:00:00,ARLO
37,6.07,6.19,5.91,5.92,5.92,694900.0,2021-08-26T00:00:00,ARLO
38,5.91,6.11,5.91,6.09,6.09,990700.0,2021-08-27T00:00:00,ARLO
39,6.09,6.15,6.05,6.12,6.12,458300.0,2021-08-30T00:00:00,ARLO
40,6.09,6.26,6.09,6.2,6.2,723200.0,2021-08-31T00:00:00,ARLO
41,6.21,6.29,6.15,6.26,6.26,537100.0,2021-09-01T00:00:00,ARLO
42,6.29,6.5,6.27,6.38,6.38,532700.0,2021-09-02T00:00:00,ARLO
43,6.32,6.44,6.29,6.29,6.29,376600.0,2021-09-03T00:00:00,ARLO
44,6.34,6.39,6.22,6.22,6.22,452800.0,2021-09-07T00:00:00,ARLO
45,6.21,6.23,6.09,6.1,6.1,512900.0,2021-09-08T00:00:00,ARLO
46,6.09,6.43,6.09,6.37,6.37,824800.0,2021-09-09T00:00:00,ARLO
47,6.37,6.55,6.3,6.32,6.32,651000.0,2021-09-10T00:00:00,ARLO
48,6.35,6.5,6.3,6.46,6.46,533400.0,2021-09-13T00:00:00,ARLO
49,6.5,6.54,6.24,6.28,6.28,956800.0,2021-09-14T00:00:00,ARLO
50,6.26,6.35,6.25,6.32,6.32,502500.0,2021-09-15T00:00:00,ARLO
51,6.3,6.44,6.26,6.43,6.43,624800.0,2021-09-16T00:00:00,ARLO
52,6.46,6.89,6.46,6.63,6.63,2343500.0,2021-09-17T00:00:00,ARLO
53,6.43,6.53,6.26,6.31,6.31,869700.0,2021-09-20T00:00:00,ARLO
54,6.35,6.41,6.26,6.29,6.29,531400.0,2021-09-21T00:00:00,ARLO
55,6.3,6.44,6.3,6.34,6.34,524800.0,2021-09-22T00:00:00,ARLO
56,6.34,6.53,6.31,6.5,6.5,458500.0,2021-09-23T00:00:00,ARLO
57,6.46,6.59,6.42,6.49,6.49,445500.0,2021-09-24T00:00:00,ARLO
58,6.48,6.72,6.46,6.67,6.67,448500.0,2021-09-27T00:00:00,ARLO
59,6.61,6.63,6.35,6.36,6.36,662600.0,2021-09-28T00:00:00,ARLO
60,6.39,6.45,6.26,6.37,6.37,624100.0,2021-09-29T00:00:00,ARLO
61,6.39,6.48,6.26,6.41,6.41,867300.0,2021-09-30T00:00:00,ARLO
62,6.43,6.49,6.3,6.45,6.45,575400.0,2021-10-01T00:00:00,ARLO
63,6.4,6.4,6.25,6.3,6.3,646600.0,2021-10-04T00:00:00,ARLO
64,6.32,6.36,6.22,6.23,6.23,595400.0,2021-10-05T00:00:00,ARLO
65,6.21,6.39,6.14,6.23,6.23,891300.0,2021-10-06T00:00:00,ARLO
66,6.33,6.55,6.33,6.5,6.5,370900.0,2021-10-07T00:00:00,ARLO
