,Open,High,Low,Close,Adj Close,Volume,Date,company
0,8.94,8.96,8.5,8.59,8.021477,812200.0,2021-07-06T00:00:00,AROC
1,8.54,8.68,8.32,8.4,7.844052,926500.0,2021-07-07T00:00:00,AROC
2,8.25,8.43,8.17,8.33,7.778685,696100.0,2021-07-08T00:00:00,AROC
3,8.52,8.73,8.43,8.68,8.10552,646800.0,2021-07-09T00:00:00,AROC
4,8.68,8.8,8.51,8.77,8.189564,551500.0,2021-07-12T00:00:00,AROC
5,8.7,8.75,8.59,8.68,8.10552,860200.0,2021-07-13T00:00:00,AROC
6,8.7,8.85,8.46,8.54,7.974785,918300.0,2021-07-14T00:00:00,AROC
7,8.45,8.62,8.41,8.41,7.853389,746800.0,2021-07-15T00:00:00,AROC
8,8.52,8.52,8.18,8.23,7.685303,890100.0,2021-07-16T00:00:00,AROC
9,8.0,8.07,7.65,7.93,7.405158,1157700.0,2021-07-19T00:00:00,AROC
10,7.95,8.21,7.87,8.09,7.554569,1004800.0,2021-07-20T00:00:00,AROC
11,8.29,8.49,8.29,8.4,7.844052,491600.0,2021-07-21T00:00:00,AROC
12,8.39,8.39,8.1,8.22,7.675965,468000.0,2021-07-22T00:00:00,AROC
13,8.32,8.32,8.13,8.21,7.666626,420200.0,2021-07-23T00:00:00,AROC
14,8.3,8.6,8.3,8.59,8.021477,751800.0,2021-07-26T00:00:00,AROC
15,8.48,8.51,8.34,8.46,7.900081,681600.0,2021-07-27T00:00:00,AROC
16,8.55,8.6,8.33,8.5,7.937434,492200.0,2021-07-28T00:00:00,AROC
17,8.66,8.78,8.52,8.77,8.189564,711500.0,2021-07-29T00:00:00,AROC
18,8.78,8.78,8.44,8.61,8.040153,751800.0,2021-07-30T00:00:00,AROC
19,8.62,8.89,8.28,8.31,7.760009,905900.0,2021-08-02T00:00:00,AROC
20,8.28,8.5,8.13,8.5,7.937434,1240800.0,2021-08-03T00:00:00,AROC
21,8.3,8.34,8.02,8.06,7.526556,717200.0,2021-08-04T00:00:00,AROC
22,8.11,8.25,8.07,8.18,7.638613,456400.0,2021-08-05T00:00:00,AROC
23,8.18,8.24,8.05,8.16,7.757446,418000.0,2021-08-06T00:00:00,AROC
24,7.94,7.97,7.79,7.9,7.510273,627000.0,2021-08-09T00:00:00,AROC
25,7.91,8.13,7.91,8.03,7.633859,580300.0,2021-08-10T00:00:00,AROC
26,8.02,8.19,7.91,8.16,7.757446,717100.0,2021-08-11T00:00:00,AROC
27,8.16,8.22,7.95,8.09,7.690899,413500.0,2021-08-12T00:00:00,AROC
28,8.08,8.08,7.95,7.97,7.576819,436600.0,2021-08-13T00:00:00,AROC
29,7.86,7.9,7.71,7.76,7.377179,807500.0,2021-08-16T00:00:00,AROC
30,7.71,7.81,7.53,7.65,7.272606,557800.0,2021-08-17T00:00:00,AROC
31,7.67,7.72,7.46,7.46,7.091979,510300.0,2021-08-18T00:00:00,AROC
32,7.31,7.37,7.12,7.22,6.863819,944000.0,2021-08-19T00:00:00,AROC
33,7.12,7.31,7.09,7.3,6.939872,571400.0,2021-08-20T00:00:00,AROC
34,7.49,7.61,7.46,7.56,7.187046,709100.0,2021-08-23T00:00:00,AROC
35,7.63,7.77,7.61,7.68,7.301126,515900.0,2021-08-24T00:00:00,AROC
36,7.73,7.86,7.66,7.83,7.443726,529000.0,2021-08-25T00:00:00,AROC
37,7.75,7.83,7.63,7.64,7.263099,425600.0,2021-08-26T00:00:00,AROC
38,7.76,7.96,7.7,7.9,7.510273,624000.0,2021-08-27T00:00:00,AROC
39,7.97,7.97,7.72,7.75,7.367672,445000.0,2021-08-30T00:00:00,AROC
40,7.75,7.84,7.68,7.68,7.301126,1550700.0,2021-08-31T00:00:00,AROC
41,7.72,7.77,7.65,7.71,7.329646,689400.0,2021-09-01T00:00:00,AROC
42,7.8,7.83,7.7,7.76,7.377179,866000.0,2021-09-02T00:00:00,AROC
43,7.76,7.79,7.62,7.74,7.358166,674500.0,2021-09-03T00:00:00,AROC
44,7.68,7.81,7.6,7.64,7.263099,1125400.0,2021-09-07T00:00:00,AROC
45,7.65,7.73,7.31,7.32,6.958886,852600.0,2021-09-08T00:00:00,AROC
46,7.29,7.48,7.21,7.3,6.939872,1166700.0,2021-09-09T00:00:00,AROC
47,7.39,7.44,7.26,7.36,6.996912,877200.0,2021-09-10T00:00:00,AROC
48,7.46,7.74,7.46,7.7,7.320139,654400.0,2021-09-13T00:00:00,AROC
49,7.8,7.8,7.55,7.6,7.225072,711100.0,2021-09-14T00:00:00,AROC
50,7.69,7.98,7.69,7.94,7.548299,826100.0,2021-09-15T00:00:00,AROC
51,7.92,7.93,7.66,7.71,7.329646,549100.0,2021-09-16T00:00:00,AROC
52,7.66,7.93,7.64,7.9,7.510273,3860100.0,2021-09-17T00:00:00,AROC
53,7.61,7.69,7.47,7.6,7.225072,773200.0,2021-09-20T00:00:00,AROC
54,7.7,7.72,7.48,7.62,7.244085,608700.0,2021-09-21T00:00:00,AROC
55,7.77,7.9,7.67,7.68,7.301126,583000.0,2021-09-22T00:00:00,AROC
56,7.75,8.02,7.65,7.98,7.586326,526700.0,2021-09-23T00:00:00,AROC
57,7.91,8.0,7.82,7.83,7.443726,515800.0,2021-09-24T00:00:00,AROC
58,8.08,8.34,7.99,8.22,7.814487,832700.0,2021-09-27T00:00:00,AROC
59,8.35,8.53,8.21,8.23,7.823993,717900.0,2021-09-28T00:00:00,AROC
60,8.26,8.31,8.07,8.28,7.871525,553600.0,2021-09-29T00:00:00,AROC
61,8.33,8.38,8.21,8.25,7.843007,736400.0,2021-09-30T00:00:00,AROC
62,8.33,8.53,8.22,8.49,8.071166,811700.0,2021-10-01T00:00:00,AROC
63,8.6,8.68,8.54,8.59,8.166233,974800.0,2021-10-04T00:00:00,AROC
64,8.73,8.73,8.49,8.66,8.23278,858300.0,2021-10-05T00:00:00,AROC
65,8.48,8.5,8.09,8.28,7.871525,886700.0,2021-10-06T00:00:00,AROC
66,8.28,8.5,8.22,8.44,8.023633,1030400.0,2021-10-07T00:00:00,AROC
67,8.45,8.66,8.45,8.59,8.166233,523200.0,2021-10-08T00:00:00,AROC
68,8.76,8.89,8.62,8.63,8.20426,531000.0,2021-10-11T00:00:00,AROC
69,8.63,8.85,8.6,8.65,8.223273,613900.0,2021-10-12T00:00:00,AROC
70,8.56,8.73,8.42,8.72,8.28982,627300.0,2021-10-13T00:00:00,AROC
71,8.85,8.85,8.71,8.72,8.28982,580000.0,2021-10-14T00:00:00,AROC
72,8.9,8.9,8.64,8.64,8.213766,744600.0,2021-10-15T00:00:00,AROC
73,8.7,8.72,8.47,8.53,8.109193,696200.0,2021-10-18T00:00:00,AROC
74,8.58,8.59,8.39,8.55,8.128206,711500.0,2021-10-19T00:00:00,AROC
75,8.5,8.8,8.44,8.79,8.356366,632300.0,2021-10-20T00:00:00,AROC
76,8.72,8.84,8.55,8.69,8.2613,718200.0,2021-10-21T00:00:00,AROC
77,8.72,8.73,8.43,8.62,8.194753,760600.0,2021-10-22T00:00:00,AROC
78,8.7,8.77,8.61,8.63,8.20426,391200.0,2021-10-25T00:00:00,AROC
79,8.64,8.76,8.55,8.56,8.137713,654600.0,2021-10-26T00:00:00,AROC
80,8.45,8.56,8.23,8.3,7.890539,669500.0,2021-10-27T00:00:00,AROC
81,8.32,8.42,8.27,8.4,7.985606,607000.0,2021-10-28T00:00:00,AROC
82,8.46,8.53,8.14,8.19,7.785965,658300.0,2021-10-29T00:00:00,AROC
83,8.2,8.48,8.2,8.39,7.976099,574200.0,2021-11-01T00:00:00,AROC
84,8.49,8.51,8.33,8.41,7.995112,558700.0,2021-11-02T00:00:00,AROC
85,8.18,8.5,8.06,8.41,7.995112,599200.0,2021-11-03T00:00:00,AROC
86,8.55,8.7,8.41,8.45,8.033139,801300.0,2021-11-04T00:00:00,AROC
87,8.63,8.75,8.55,8.72,8.28982,901500.0,2021-11-05T00:00:00,AROC
88,8.59,8.74,8.57,8.66,8.371993,431500.0,2021-11-08T00:00:00,AROC
89,8.66,8.67,8.49,8.66,8.371993,424200.0,2021-11-09T00:00:00,AROC
