,Open,High,Low,Close,Adj Close,Volume,Date,company
0,11.62,11.72,11.42,11.69,11.569774,570800.0,2021-07-06T00:00:00,ATEN
1,11.69,11.97,11.69,11.77,11.648952,745600.0,2021-07-07T00:00:00,ATEN
2,11.58,11.6,11.16,11.55,11.431215,404400.0,2021-07-08T00:00:00,ATEN
3,11.66,11.92,11.56,11.86,11.738026,351900.0,2021-07-09T00:00:00,ATEN
4,11.87,11.91,11.34,11.34,11.223374,525000.0,2021-07-12T00:00:00,ATEN
5,11.29,11.31,11.13,11.24,11.124403,616000.0,2021-07-13T00:00:00,ATEN
6,11.31,11.46,11.04,11.08,10.966048,453600.0,2021-07-14T00:00:00,ATEN
7,11.08,11.19,10.85,11.02,10.906666,527600.0,2021-07-15T00:00:00,ATEN
8,11.05,11.05,10.56,10.7,10.589956,1947700.0,2021-07-16T00:00:00,ATEN
9,10.5,10.95,10.5,10.73,10.619647,573400.0,2021-07-19T00:00:00,ATEN
10,10.8,10.98,10.64,10.84,10.728516,466900.0,2021-07-20T00:00:00,ATEN
11,10.83,11.23,10.83,11.21,11.094711,493000.0,2021-07-21T00:00:00,ATEN
12,11.18,11.36,11.15,11.3,11.183784,324400.0,2021-07-22T00:00:00,ATEN
13,11.35,11.4,11.25,11.39,11.272861,422900.0,2021-07-23T00:00:00,ATEN
14,11.46,11.49,11.31,11.36,11.243168,357300.0,2021-07-26T00:00:00,ATEN
15,11.33,11.33,10.93,11.15,11.035327,409900.0,2021-07-27T00:00:00,ATEN
16,11.2,12.61,11.1,12.48,12.351649,1360100.0,2021-07-28T00:00:00,ATEN
17,12.5,13.13,12.5,12.96,12.826713,1335600.0,2021-07-29T00:00:00,ATEN
18,12.85,13.09,12.54,12.77,12.638668,664200.0,2021-07-30T00:00:00,ATEN
19,12.78,13.21,12.65,13.19,13.054347,773400.0,2021-08-02T00:00:00,ATEN
20,13.2,13.25,12.71,13.01,12.876199,798700.0,2021-08-03T00:00:00,ATEN
21,12.97,13.4,12.96,13.24,13.103833,464800.0,2021-08-04T00:00:00,ATEN
22,13.28,13.59,13.15,13.51,13.371057,944500.0,2021-08-05T00:00:00,ATEN
23,13.53,13.55,12.98,13.23,13.093936,613600.0,2021-08-06T00:00:00,ATEN
24,13.28,13.38,13.05,13.32,13.18301,366500.0,2021-08-09T00:00:00,ATEN
25,13.34,13.5,13.01,13.14,13.004863,410200.0,2021-08-10T00:00:00,ATEN
26,13.18,13.23,12.9,13.07,12.935581,315600.0,2021-08-11T00:00:00,ATEN
27,13.07,13.29,12.9,13.27,13.133525,317500.0,2021-08-12T00:00:00,ATEN
28,13.26,13.62,13.11,13.48,13.341365,555500.0,2021-08-13T00:00:00,ATEN
29,13.4,13.93,13.23,13.6,13.460132,845900.0,2021-08-16T00:00:00,ATEN
30,13.48,13.52,12.83,12.92,12.787125,477700.0,2021-08-17T00:00:00,ATEN
31,12.94,13.41,12.86,13.11,12.97517,408400.0,2021-08-18T00:00:00,ATEN
32,12.91,13.17,12.9,12.97,12.836611,353900.0,2021-08-19T00:00:00,ATEN
33,12.96,13.23,12.93,13.18,13.044451,302700.0,2021-08-20T00:00:00,ATEN
