,Open,High,Low,Close,Adj Close,Volume,Date,company
0,17.200001,17.35,16.74,17.18,17.093611,110000.0,2021-07-06T00:00:00,AVD
1,17.18,17.34,16.58,16.68,16.596125,128000.0,2021-07-07T00:00:00,AVD
2,16.52,16.940001,16.4,16.790001,16.705572,82700.0,2021-07-08T00:00:00,AVD
3,16.98,17.18,16.790001,17.1,17.014011,65600.0,2021-07-09T00:00:00,AVD
4,17.049999,17.27,17.0,17.18,17.093611,58100.0,2021-07-12T00:00:00,AVD
5,17.110001,17.24,16.83,16.92,16.834917,52300.0,2021-07-13T00:00:00,AVD
6,16.950001,17.32,16.879999,16.98,16.894613,41900.0,2021-07-14T00:00:00,AVD
7,16.809999,17.16,16.809999,17.02,16.934416,76300.0,2021-07-15T00:00:00,AVD
8,17.16,17.16,16.690001,16.77,16.685671,68200.0,2021-07-16T00:00:00,AVD
9,16.41,16.82,16.190001,16.42,16.337431,115500.0,2021-07-19T00:00:00,AVD
10,16.51,16.959999,16.450001,16.65,16.566273,117200.0,2021-07-20T00:00:00,AVD
11,16.82,17.09,16.690001,16.950001,16.864767,135300.0,2021-07-21T00:00:00,AVD
12,16.84,17.049999,16.57,16.709999,16.625971,129500.0,2021-07-22T00:00:00,AVD
13,16.76,16.809999,16.58,16.690001,16.606073,85600.0,2021-07-23T00:00:00,AVD
14,16.77,17.059999,16.77,16.870001,16.78517,66400.0,2021-07-26T00:00:00,AVD
15,16.76,17.07,16.629999,16.68,16.596125,91300.0,2021-07-27T00:00:00,AVD
16,16.82,16.950001,16.42,16.83,16.745369,285200.0,2021-07-28T00:00:00,AVD
17,16.82,17.0,16.58,16.66,16.576223,200200.0,2021-07-29T00:00:00,AVD
18,16.700001,16.889999,16.379999,16.51,16.426979,130600.0,2021-07-30T00:00:00,AVD
19,16.59,17.0,16.26,16.27,16.188185,144000.0,2021-08-02T00:00:00,AVD
20,16.290001,16.4,15.83,15.85,15.770297,431200.0,2021-08-03T00:00:00,AVD
21,15.67,15.89,15.28,15.41,15.33251,206700.0,2021-08-04T00:00:00,AVD
22,15.51,15.6,15.05,15.35,15.272812,243500.0,2021-08-05T00:00:00,AVD
23,15.59,16.200001,15.59,16.16,16.078739,140300.0,2021-08-06T00:00:00,AVD
24,16.24,16.24,15.77,16.040001,15.95934,171800.0,2021-08-09T00:00:00,AVD
25,16.209999,16.719999,16.02,16.049999,15.969291,147500.0,2021-08-10T00:00:00,AVD
26,16.030001,16.030001,15.22,15.41,15.33251,125900.0,2021-08-11T00:00:00,AVD
27,15.41,15.43,14.99,14.99,14.914621,241200.0,2021-08-12T00:00:00,AVD
28,14.99,15.13,14.9,15.09,15.014119,188500.0,2021-08-13T00:00:00,AVD
29,15.05,15.15,14.9,14.92,14.844974,172800.0,2021-08-16T00:00:00,AVD
30,14.8,14.9,14.6,14.88,14.805175,186300.0,2021-08-17T00:00:00,AVD
31,14.92,15.29,14.87,14.97,14.894722,262400.0,2021-08-18T00:00:00,AVD
32,14.8,14.95,14.62,14.8,14.725576,183500.0,2021-08-19T00:00:00,AVD
33,14.75,15.19,14.75,15.19,15.113615,908700.0,2021-08-20T00:00:00,AVD
34,15.2,15.34,15.06,15.23,15.153414,160100.0,2021-08-23T00:00:00,AVD
