,Open,High,Low,Close,Adj Close,Volume,Date,company
0,11.04,11.06,10.58,10.76,10.76,1113800.0,2021-07-06T00:00:00,AXL
1,10.65,10.67,10.1,10.45,10.45,1756700.0,2021-07-07T00:00:00,AXL
2,10.07,10.47,9.9,10.08,10.08,1888500.0,2021-07-08T00:00:00,AXL
3,10.34,10.52,10.26,10.4,10.4,695000.0,2021-07-09T00:00:00,AXL
4,10.26,10.54,10.14,10.4,10.4,1038800.0,2021-07-12T00:00:00,AXL
5,10.26,10.35,9.72,9.74,9.74,1825700.0,2021-07-13T00:00:00,AXL
6,9.79,9.96,9.45,9.46,9.46,1206200.0,2021-07-14T00:00:00,AXL
7,9.34,9.59,9.27,9.41,9.41,1006100.0,2021-07-15T00:00:00,AXL
8,9.39,9.49,9.07,9.17,9.17,1162200.0,2021-07-16T00:00:00,AXL
9,8.81,9.2,8.8,9.08,9.08,1253400.0,2021-07-19T00:00:00,AXL
10,9.2,9.57,9.08,9.41,9.41,1143900.0,2021-07-20T00:00:00,AXL
11,9.6,9.86,9.59,9.7,9.7,947600.0,2021-07-21T00:00:00,AXL
12,9.57,9.58,9.11,9.22,9.22,1044800.0,2021-07-22T00:00:00,AXL
13,9.4,9.4,9.06,9.37,9.37,876200.0,2021-07-23T00:00:00,AXL
14,9.44,9.58,9.32,9.44,9.44,527700.0,2021-07-26T00:00:00,AXL
15,9.21,9.3,8.99,9.24,9.24,1376400.0,2021-07-27T00:00:00,AXL
16,9.42,9.56,9.12,9.31,9.31,936500.0,2021-07-28T00:00:00,AXL
17,9.54,9.89,9.51,9.78,9.78,1646900.0,2021-07-29T00:00:00,AXL
18,9.7,10.59,9.52,9.69,9.69,2701100.0,2021-07-30T00:00:00,AXL
19,9.89,10.25,9.69,9.72,9.72,1493500.0,2021-08-02T00:00:00,AXL
20,9.85,10.0,9.56,9.89,9.89,1648500.0,2021-08-03T00:00:00,AXL
21,9.76,9.84,9.17,9.21,9.21,1704800.0,2021-08-04T00:00:00,AXL
22,9.19,9.47,9.19,9.38,9.38,924500.0,2021-08-05T00:00:00,AXL
23,9.52,9.58,9.24,9.29,9.29,966900.0,2021-08-06T00:00:00,AXL
24,9.16,9.27,9.0,9.13,9.13,863900.0,2021-08-09T00:00:00,AXL
25,9.18,9.46,9.06,9.4,9.4,851800.0,2021-08-10T00:00:00,AXL
26,9.31,9.5,9.12,9.49,9.49,829000.0,2021-08-11T00:00:00,AXL
27,9.55,9.56,9.26,9.39,9.39,772800.0,2021-08-12T00:00:00,AXL
28,9.34,9.45,9.19,9.36,9.36,784800.0,2021-08-13T00:00:00,AXL
29,9.23,9.47,9.04,9.42,9.42,1196500.0,2021-08-16T00:00:00,AXL
30,9.21,9.26,9.01,9.1,9.1,1744900.0,2021-08-17T00:00:00,AXL
31,9.03,9.15,8.81,8.82,8.82,1510400.0,2021-08-18T00:00:00,AXL
32,8.56,8.62,8.33,8.48,8.48,1471400.0,2021-08-19T00:00:00,AXL
33,8.4,8.5,8.28,8.42,8.42,1027000.0,2021-08-20T00:00:00,AXL
34,8.47,8.55,8.31,8.5,8.5,882000.0,2021-08-23T00:00:00,AXL
35,8.6,8.85,8.58,8.75,8.75,988800.0,2021-08-24T00:00:00,AXL
36,8.78,8.88,8.67,8.82,8.82,590400.0,2021-08-25T00:00:00,AXL
37,8.8,8.85,8.57,8.65,8.65,545500.0,2021-08-26T00:00:00,AXL
38,8.63,9.17,8.61,9.17,9.17,1096000.0,2021-08-27T00:00:00,AXL
39,9.2,9.2,8.82,8.84,8.84,743000.0,2021-08-30T00:00:00,AXL
40,8.84,8.95,8.72,8.87,8.87,845200.0,2021-08-31T00:00:00,AXL
41,8.81,8.99,8.69,8.96,8.96,1031200.0,2021-09-01T00:00:00,AXL
42,8.97,9.02,8.67,8.69,8.69,1353400.0,2021-09-02T00:00:00,AXL
43,8.7,8.74,8.59,8.64,8.64,677100.0,2021-09-03T00:00:00,AXL
44,8.57,8.78,8.49,8.57,8.57,647900.0,2021-09-07T00:00:00,AXL
45,8.47,8.54,8.25,8.31,8.31,825800.0,2021-09-08T00:00:00,AXL
46,8.26,8.36,8.15,8.26,8.26,905600.0,2021-09-09T00:00:00,AXL
47,8.33,8.44,8.09,8.11,8.11,809900.0,2021-09-10T00:00:00,AXL
48,8.28,8.45,8.15,8.42,8.42,1111500.0,2021-09-13T00:00:00,AXL
49,8.52,8.52,8.16,8.24,8.24,785300.0,2021-09-14T00:00:00,AXL
50,8.24,8.52,8.21,8.45,8.45,946300.0,2021-09-15T00:00:00,AXL
51,8.31,8.49,8.07,8.36,8.36,2040600.0,2021-09-16T00:00:00,AXL
52,8.37,8.65,8.34,8.64,8.64,3851200.0,2021-09-17T00:00:00,AXL
53,8.21,8.29,7.93,8.15,8.15,2075500.0,2021-09-20T00:00:00,AXL
54,8.19,8.29,7.9,7.96,7.96,1460400.0,2021-09-21T00:00:00,AXL
55,8.14,8.59,8.0,8.42,8.42,1775200.0,2021-09-22T00:00:00,AXL
56,8.58,8.85,8.5,8.73,8.73,1226200.0,2021-09-23T00:00:00,AXL
57,8.62,8.78,8.57,8.69,8.69,655200.0,2021-09-24T00:00:00,AXL
58,8.68,9.22,8.67,9.08,9.08,1451300.0,2021-09-27T00:00:00,AXL
59,9.19,9.32,8.99,9.14,9.14,1088100.0,2021-09-28T00:00:00,AXL
60,9.14,9.19,8.97,9.12,9.12,751000.0,2021-09-29T00:00:00,AXL
61,9.04,9.15,8.81,8.81,8.81,822200.0,2021-09-30T00:00:00,AXL
62,8.9,9.0,8.69,8.92,8.92,999800.0,2021-10-01T00:00:00,AXL
63,9.04,9.29,9.0,9.09,9.09,1411600.0,2021-10-04T00:00:00,AXL
64,9.07,9.44,8.97,9.42,9.42,1273100.0,2021-10-05T00:00:00,AXL
65,9.24,9.42,8.94,9.15,9.15,1660100.0,2021-10-06T00:00:00,AXL
66,9.29,9.59,9.23,9.51,9.51,1119500.0,2021-10-07T00:00:00,AXL
67,9.57,9.96,9.54,9.89,9.89,1193000.0,2021-10-08T00:00:00,AXL
