,Open,High,Low,Close,Adj Close,Volume,Date,company
0,14.7,14.72,14.21,14.35,13.902043,317500.0,2021-07-06T00:00:00,BRKL
1,14.22,14.45,14.16,14.26,13.814853,294500.0,2021-07-07T00:00:00,BRKL
2,13.69,14.03,13.65,14.0,13.562969,551500.0,2021-07-08T00:00:00,BRKL
3,14.31,14.52,14.2,14.42,13.969858,288500.0,2021-07-09T00:00:00,BRKL
4,14.27,14.49,14.12,14.47,14.018297,343600.0,2021-07-12T00:00:00,BRKL
5,14.42,14.42,14.01,14.11,13.669535,241200.0,2021-07-13T00:00:00,BRKL
6,14.1,14.26,13.88,14.06,13.621097,207600.0,2021-07-14T00:00:00,BRKL
7,13.66,14.18,13.66,14.13,13.688911,211400.0,2021-07-15T00:00:00,BRKL
8,14.14,14.3,13.74,13.79,13.359524,200500.0,2021-07-16T00:00:00,BRKL
9,13.45,13.61,13.23,13.5,13.078577,472200.0,2021-07-19T00:00:00,BRKL
10,13.5,14.07,13.5,13.67,13.243271,405400.0,2021-07-20T00:00:00,BRKL
11,13.83,14.02,13.78,13.86,13.427339,240200.0,2021-07-21T00:00:00,BRKL
12,13.81,13.9,13.46,13.51,13.088265,235600.0,2021-07-22T00:00:00,BRKL
13,13.62,13.76,13.53,13.59,13.165768,147200.0,2021-07-23T00:00:00,BRKL
14,13.62,13.88,13.62,13.69,13.262646,299100.0,2021-07-26T00:00:00,BRKL
15,13.6,13.86,13.51,13.72,13.29171,162000.0,2021-07-27T00:00:00,BRKL
16,13.73,13.96,13.61,13.89,13.456403,200900.0,2021-07-28T00:00:00,BRKL
17,14.29,14.48,13.94,14.29,13.843916,472500.0,2021-07-29T00:00:00,BRKL
18,14.45,14.7,14.31,14.37,13.921419,379600.0,2021-07-30T00:00:00,BRKL
19,14.41,14.82,14.35,14.46,14.00861,372000.0,2021-08-02T00:00:00,BRKL
20,14.55,14.7,14.35,14.66,14.202365,537200.0,2021-08-03T00:00:00,BRKL
21,14.43,14.73,14.1,14.62,14.163615,373800.0,2021-08-04T00:00:00,BRKL
22,14.62,14.79,14.09,14.73,14.27018,207100.0,2021-08-05T00:00:00,BRKL
23,14.98,15.24,14.94,15.07,14.599566,267400.0,2021-08-06T00:00:00,BRKL
24,14.98,15.12,14.81,14.94,14.473625,167100.0,2021-08-09T00:00:00,BRKL
25,14.9,15.07,14.8,15.01,14.54144,226200.0,2021-08-10T00:00:00,BRKL
26,15.1,15.3,14.87,15.29,14.8127,193400.0,2021-08-11T00:00:00,BRKL
27,15.14,15.18,14.95,15.06,14.705291,138900.0,2021-08-12T00:00:00,BRKL
28,15.11,15.13,14.85,14.86,14.51,96000.0,2021-08-13T00:00:00,BRKL
29,14.79,14.88,14.59,14.83,14.480707,145300.0,2021-08-16T00:00:00,BRKL
30,14.73,14.85,14.52,14.66,14.314712,160900.0,2021-08-17T00:00:00,BRKL
31,14.67,14.73,14.47,14.48,14.138951,142300.0,2021-08-18T00:00:00,BRKL
32,14.33,14.52,14.31,14.48,14.138951,301700.0,2021-08-19T00:00:00,BRKL
33,14.38,14.72,14.35,14.68,14.334241,191500.0,2021-08-20T00:00:00,BRKL
