,Open,High,Low,Close,Adj Close,Volume,Date,company
0,12.62,12.62,12.24,12.48,12.48,189600.0,2021-07-06T00:00:00,CAMP
1,12.42,12.6,12.11,12.14,12.14,233300.0,2021-07-07T00:00:00,CAMP
2,12.05,12.13,11.96,12.05,12.05,255300.0,2021-07-08T00:00:00,CAMP
3,12.3,12.46,12.14,12.28,12.28,130200.0,2021-07-09T00:00:00,CAMP
4,12.29,12.34,12.12,12.28,12.28,119300.0,2021-07-12T00:00:00,CAMP
5,12.18,12.23,12.01,12.12,12.12,234500.0,2021-07-13T00:00:00,CAMP
6,12.17,12.37,12.06,12.1,12.1,106300.0,2021-07-14T00:00:00,CAMP
7,12.04,12.19,11.85,12.01,12.01,289500.0,2021-07-15T00:00:00,CAMP
8,12.21,12.41,11.87,11.91,11.91,237700.0,2021-07-16T00:00:00,CAMP
9,11.7,11.94,11.58,11.83,11.83,223500.0,2021-07-19T00:00:00,CAMP
10,11.9,12.18,11.85,12.05,12.05,187900.0,2021-07-20T00:00:00,CAMP
11,12.03,12.22,11.89,12.17,12.17,130000.0,2021-07-21T00:00:00,CAMP
12,12.07,12.11,11.98,12.01,12.01,123700.0,2021-07-22T00:00:00,CAMP
13,11.96,12.12,11.93,12.08,12.08,104700.0,2021-07-23T00:00:00,CAMP
14,12.17,12.25,12.0,12.04,12.04,114500.0,2021-07-26T00:00:00,CAMP
15,12.03,12.1,11.92,12.03,12.03,140700.0,2021-07-27T00:00:00,CAMP
16,12.17,12.34,11.98,12.23,12.23,125000.0,2021-07-28T00:00:00,CAMP
17,12.3,12.48,12.27,12.29,12.29,76400.0,2021-07-29T00:00:00,CAMP
18,12.15,12.39,12.06,12.13,12.13,127400.0,2021-07-30T00:00:00,CAMP
19,12.25,12.38,12.07,12.08,12.08,92100.0,2021-08-02T00:00:00,CAMP
20,12.12,12.14,11.91,12.03,12.03,233900.0,2021-08-03T00:00:00,CAMP
21,11.87,11.92,11.71,11.76,11.76,148900.0,2021-08-04T00:00:00,CAMP
22,11.77,11.83,11.74,11.81,11.81,83500.0,2021-08-05T00:00:00,CAMP
23,11.87,12.08,11.85,12.08,12.08,76400.0,2021-08-06T00:00:00,CAMP
24,11.98,12.1,11.9,11.91,11.91,77300.0,2021-08-09T00:00:00,CAMP
25,11.9,12.08,11.86,12.06,12.06,111900.0,2021-08-10T00:00:00,CAMP
26,12.07,12.23,11.92,12.09,12.09,107200.0,2021-08-11T00:00:00,CAMP
27,12.16,12.16,11.81,11.88,11.88,75300.0,2021-08-12T00:00:00,CAMP
28,11.81,11.84,11.68,11.77,11.77,150700.0,2021-08-13T00:00:00,CAMP
29,11.67,11.71,11.52,11.62,11.62,134900.0,2021-08-16T00:00:00,CAMP
30,11.56,11.57,11.26,11.37,11.37,163300.0,2021-08-17T00:00:00,CAMP
31,11.34,11.48,11.23,11.25,11.25,86400.0,2021-08-18T00:00:00,CAMP
32,11.14,11.16,10.92,10.96,10.96,105600.0,2021-08-19T00:00:00,CAMP
33,10.89,11.19,10.75,11.13,11.13,100000.0,2021-08-20T00:00:00,CAMP
34,11.25,11.47,11.15,11.41,11.41,100900.0,2021-08-23T00:00:00,CAMP
35,11.45,11.58,11.4,11.46,11.46,93200.0,2021-08-24T00:00:00,CAMP
36,11.47,11.58,11.42,11.42,11.42,59700.0,2021-08-25T00:00:00,CAMP
37,11.43,11.45,11.24,11.27,11.27,92200.0,2021-08-26T00:00:00,CAMP
38,11.28,11.78,11.28,11.64,11.64,138700.0,2021-08-27T00:00:00,CAMP
39,11.7,11.72,11.38,11.39,11.39,94700.0,2021-08-30T00:00:00,CAMP
40,11.43,11.59,11.34,11.34,11.34,80900.0,2021-08-31T00:00:00,CAMP
41,11.41,11.5,11.23,11.39,11.39,75200.0,2021-09-01T00:00:00,CAMP
42,11.4,11.52,11.35,11.5,11.5,85300.0,2021-09-02T00:00:00,CAMP
