,Open,High,Low,Close,Adj Close,Volume,Date,company
0,14.49,14.49,14.1,14.33,14.33,320800.0,2021-07-06T00:00:00,CARA
1,14.43,14.479,13.52,13.85,13.85,447500.0,2021-07-07T00:00:00,CARA
2,13.56,13.87,13.31,13.81,13.81,281300.0,2021-07-08T00:00:00,CARA
3,14.225,14.225,13.67,13.91,13.91,233700.0,2021-07-09T00:00:00,CARA
4,13.93,14.01,13.75,13.93,13.93,260900.0,2021-07-12T00:00:00,CARA
5,13.83,13.88,13.315,13.45,13.45,378800.0,2021-07-13T00:00:00,CARA
6,13.42,13.53,13.05,13.11,13.11,322800.0,2021-07-14T00:00:00,CARA
7,13.0,13.05,12.67,12.94,12.94,404100.0,2021-07-15T00:00:00,CARA
8,13.04,13.13,12.725,12.99,12.99,263400.0,2021-07-16T00:00:00,CARA
9,12.86,13.04,12.67,13.02,13.02,317600.0,2021-07-19T00:00:00,CARA
10,13.13,13.27,12.58,12.78,12.78,496900.0,2021-07-20T00:00:00,CARA
11,12.77,13.04,12.619,12.96,12.96,373900.0,2021-07-21T00:00:00,CARA
12,12.93,12.97,12.53,12.61,12.61,394200.0,2021-07-22T00:00:00,CARA
13,12.57,12.57,11.89,11.94,11.94,669800.0,2021-07-23T00:00:00,CARA
14,12.05,12.81,11.84,12.07,12.07,530500.0,2021-07-26T00:00:00,CARA
15,12.02,12.08,11.58,11.87,11.87,392100.0,2021-07-27T00:00:00,CARA
16,11.91,12.26,11.91,12.09,12.09,326200.0,2021-07-28T00:00:00,CARA
17,12.28,12.45,12.0,12.2,12.2,444600.0,2021-07-29T00:00:00,CARA
18,12.26,12.36,11.92,11.97,11.97,289500.0,2021-07-30T00:00:00,CARA
19,12.01,12.365,12.01,12.15,12.15,384600.0,2021-08-02T00:00:00,CARA
20,12.2,12.235,11.5,11.67,11.67,682800.0,2021-08-03T00:00:00,CARA
21,11.62,11.83,11.22,11.55,11.55,491500.0,2021-08-04T00:00:00,CARA
22,11.9,12.69,11.84,12.5,12.5,1047300.0,2021-08-05T00:00:00,CARA
23,12.677,12.846,12.04,12.78,12.78,974700.0,2021-08-06T00:00:00,CARA
24,12.97,13.18,12.51,12.51,12.51,928600.0,2021-08-09T00:00:00,CARA
25,12.24,13.59,12.1,12.99,12.99,1115400.0,2021-08-10T00:00:00,CARA
26,13.435,13.47,12.907,13.12,13.12,800700.0,2021-08-11T00:00:00,CARA
27,13.1,13.39,12.78,13.33,13.33,602100.0,2021-08-12T00:00:00,CARA
28,13.52,14.02,13.18,13.85,13.85,1218800.0,2021-08-13T00:00:00,CARA
29,14.116,14.116,12.5,12.54,12.54,1262800.0,2021-08-16T00:00:00,CARA
30,12.6,12.985,12.33,12.72,12.72,682700.0,2021-08-17T00:00:00,CARA
31,13.085,13.36,12.77,13.07,13.07,737400.0,2021-08-18T00:00:00,CARA
32,12.9,13.29,12.36,12.41,12.41,844800.0,2021-08-19T00:00:00,CARA
33,12.45,13.9,12.33,13.7,13.7,1890200.0,2021-08-20T00:00:00,CARA
34,14.112,14.64,13.55,14.28,14.28,8042400.0,2021-08-23T00:00:00,CARA
35,17.290001,18.25,14.53,14.88,14.88,37477200.0,2021-08-24T00:00:00,CARA
36,14.34,14.63,13.64,14.27,14.27,5463700.0,2021-08-25T00:00:00,CARA
37,14.16,14.33,13.4,13.66,13.66,2344800.0,2021-08-26T00:00:00,CARA
38,13.62,14.89,13.6,14.58,14.58,2891900.0,2021-08-27T00:00:00,CARA
39,14.17,15.07,14.151,14.83,14.83,1827500.0,2021-08-30T00:00:00,CARA
40,14.73,15.83,14.66,15.78,15.78,1752900.0,2021-08-31T00:00:00,CARA
41,15.89,16.08,15.568,16.059999,16.059999,1234800.0,2021-09-01T00:00:00,CARA
42,16.0,16.280001,15.59,15.74,15.74,1247900.0,2021-09-02T00:00:00,CARA
43,15.64,15.74,15.1,15.24,15.24,1016400.0,2021-09-03T00:00:00,CARA
44,15.25,15.85,15.16,15.62,15.62,995200.0,2021-09-07T00:00:00,CARA
45,15.55,15.76,15.25,15.54,15.54,795300.0,2021-09-08T00:00:00,CARA
46,15.52,15.83,15.32,15.56,15.56,693700.0,2021-09-09T00:00:00,CARA
47,15.6,15.8,15.23,15.27,15.27,577200.0,2021-09-10T00:00:00,CARA
48,15.27,15.29,14.64,14.9,14.9,710700.0,2021-09-13T00:00:00,CARA
49,15.0,15.0,14.49,14.63,14.63,571700.0,2021-09-14T00:00:00,CARA
50,14.57,15.04,14.55,14.77,14.77,599300.0,2021-09-15T00:00:00,CARA
51,14.65,14.98,14.3,14.93,14.93,935800.0,2021-09-16T00:00:00,CARA
52,14.97,15.3,14.71,15.25,15.25,1692600.0,2021-09-17T00:00:00,CARA
53,14.84,15.36,14.81,15.31,15.31,717300.0,2021-09-20T00:00:00,CARA
54,15.445,15.75,15.27,15.6,15.6,646000.0,2021-09-21T00:00:00,CARA
55,15.5,15.7,15.28,15.63,15.63,427700.0,2021-09-22T00:00:00,CARA
56,15.66,15.91,15.51,15.85,15.85,431300.0,2021-09-23T00:00:00,CARA
57,15.82,16.129999,15.79,15.93,15.93,520800.0,2021-09-24T00:00:00,CARA
58,15.92,16.25,15.81,16.040001,16.040001,388900.0,2021-09-27T00:00:00,CARA
59,16.0,16.01,15.35,15.38,15.38,352900.0,2021-09-28T00:00:00,CARA
60,15.47,15.61,15.231,15.36,15.36,299000.0,2021-09-29T00:00:00,CARA
61,15.43,15.71,15.27,15.45,15.45,288500.0,2021-09-30T00:00:00,CARA
62,15.4,15.475,14.83,15.25,15.25,436000.0,2021-10-01T00:00:00,CARA
63,15.17,15.17,14.4,14.44,14.44,484100.0,2021-10-04T00:00:00,CARA
64,14.36,14.6,14.01,14.19,14.19,643800.0,2021-10-05T00:00:00,CARA
65,13.99,14.01,13.64,13.75,13.75,472100.0,2021-10-06T00:00:00,CARA
66,13.85,14.17,13.745,14.15,14.15,538800.0,2021-10-07T00:00:00,CARA
67,14.2,14.27,14.01,14.18,14.18,247500.0,2021-10-08T00:00:00,CARA
68,14.15,14.3,13.94,13.97,13.97,481200.0,2021-10-11T00:00:00,CARA
69,13.96,14.05,13.72,13.74,13.74,293400.0,2021-10-12T00:00:00,CARA
70,13.73,13.8,13.29,13.35,13.35,434000.0,2021-10-13T00:00:00,CARA
71,13.4,13.73,13.31,13.34,13.34,553500.0,2021-10-14T00:00:00,CARA
72,13.45,13.53,13.08,13.16,13.16,380600.0,2021-10-15T00:00:00,CARA
73,13.15,13.15,12.62,12.72,12.72,569900.0,2021-10-18T00:00:00,CARA
74,12.82,12.86,12.66,12.83,12.83,402300.0,2021-10-19T00:00:00,CARA
75,12.83,13.1,12.81,12.89,12.89,249300.0,2021-10-20T00:00:00,CARA
76,12.96,13.19,12.91,12.99,12.99,286600.0,2021-10-21T00:00:00,CARA
77,12.91,12.99,12.485,12.7,12.7,342200.0,2021-10-22T00:00:00,CARA
78,12.68,13.25,12.68,13.22,13.22,437000.0,2021-10-25T00:00:00,CARA
79,13.21,14.34,13.03,14.19,14.19,1275000.0,2021-10-26T00:00:00,CARA
80,14.36,16.65,14.09,16.42,16.42,3547300.0,2021-10-27T00:00:00,CARA
81,15.72,18.16,15.555,16.950001,16.950001,2687700.0,2021-10-28T00:00:00,CARA
82,16.99,17.25,16.34,16.83,16.83,1794900.0,2021-10-29T00:00:00,CARA
83,17.17,18.16,16.950001,17.5,17.5,1209600.0,2021-11-01T00:00:00,CARA
84,17.73,17.83,16.83,17.440001,17.440001,841600.0,2021-11-02T00:00:00,CARA
85,16.84,17.735001,16.530001,17.59,17.59,904300.0,2021-11-03T00:00:00,CARA
86,17.200001,17.870001,16.860001,17.65,17.65,615500.0,2021-11-04T00:00:00,CARA
87,17.629999,18.280001,17.301001,17.889999,17.889999,711800.0,2021-11-05T00:00:00,CARA
88,17.809999,17.99,17.16,17.23,17.23,557700.0,2021-11-08T00:00:00,CARA
89,17.23,18.93,17.23,18.139999,18.139999,1269800.0,2021-11-09T00:00:00,CARA
90,17.764999,18.6,16.535,16.559999,16.559999,906900.0,2021-11-10T00:00:00,CARA
91,16.93,17.389999,16.16,16.17,16.17,550400.0,2021-11-11T00:00:00,CARA
92,16.299999,16.58,15.93,16.25,16.25,461100.0,2021-11-12T00:00:00,CARA
93,16.129999,16.280001,15.425,15.64,15.64,537700.0,2021-11-15T00:00:00,CARA
94,15.5,15.64,15.11,15.32,15.32,605900.0,2021-11-16T00:00:00,CARA
95,15.2,15.48,14.78,14.84,14.84,721800.0,2021-11-17T00:00:00,CARA
96,14.86,14.99,14.12,14.44,14.44,726400.0,2021-11-18T00:00:00,CARA
97,14.4,14.72,14.15,14.18,14.18,650500.0,2021-11-19T00:00:00,CARA
98,14.16,14.45,13.5,13.63,13.63,738000.0,2021-11-22T00:00:00,CARA
99,13.58,13.92,13.24,13.44,13.44,940000.0,2021-11-23T00:00:00,CARA
100,13.26,13.46,13.06,13.34,13.34,521600.0,2021-11-24T00:00:00,CARA
101,13.25,13.3,12.49,12.8,12.8,510600.0,2021-11-26T00:00:00,CARA
102,12.95,13.23,12.54,12.58,12.58,513100.0,2021-11-29T00:00:00,CARA
103,13.0,13.4,12.7,13.18,13.18,921200.0,2021-11-30T00:00:00,CARA
104,13.3,13.32,12.61,12.61,12.61,687400.0,2021-12-01T00:00:00,CARA
105,12.61,12.91,12.385,12.89,12.89,704200.0,2021-12-02T00:00:00,CARA
106,12.9,13.02,12.22,12.31,12.31,499800.0,2021-12-03T00:00:00,CARA
107,12.31,12.495,12.04,12.14,12.14,425600.0,2021-12-06T00:00:00,CARA
108,12.22,12.95,12.22,12.74,12.74,478000.0,2021-12-07T00:00:00,CARA
109,12.82,13.025,12.59,12.8,12.8,317000.0,2021-12-08T00:00:00,CARA
110,12.67,12.95,12.35,12.37,12.37,430200.0,2021-12-09T00:00:00,CARA
111,12.52,12.66,12.07,12.1,12.1,438100.0,2021-12-10T00:00:00,CARA
112,12.265,12.35,11.93,12.18,12.18,515300.0,2021-12-13T00:00:00,CARA
113,12.02,12.17,11.775,11.99,11.99,425900.0,2021-12-14T00:00:00,CARA
114,11.97,12.5,11.62,12.48,12.48,668900.0,2021-12-15T00:00:00,CARA
115,12.48,12.52,12.05,12.18,12.18,598000.0,2021-12-16T00:00:00,CARA
116,12.05,12.67,11.85,12.45,12.45,1560400.0,2021-12-17T00:00:00,CARA
117,12.375,12.4,11.95,12.21,12.21,630900.0,2021-12-20T00:00:00,CARA
118,12.29,12.51,12.18,12.29,12.29,417600.0,2021-12-21T00:00:00,CARA
119,12.29,12.48,12.14,12.27,12.27,312900.0,2021-12-22T00:00:00,CARA
120,12.38,12.73,12.18,12.66,12.66,396300.0,2021-12-23T00:00:00,CARA
