,Open,High,Low,Close,Adj Close,Volume,Date,company
0,13.79,13.86,13.228,13.43,13.43,293200.0,2021-07-06T00:00:00,CARS
1,13.42,13.77,12.87,12.96,12.96,473800.0,2021-07-07T00:00:00,CARS
2,12.57,12.85,11.99,12.66,12.66,487400.0,2021-07-08T00:00:00,CARS
3,12.85,13.07,12.64,13.01,13.01,258800.0,2021-07-09T00:00:00,CARS
4,12.93,13.3,12.75,13.29,13.29,339700.0,2021-07-12T00:00:00,CARS
5,13.18,13.28,12.89,13.08,13.08,394900.0,2021-07-13T00:00:00,CARS
6,13.29,13.52,12.88,12.91,12.91,253700.0,2021-07-14T00:00:00,CARS
7,12.8,12.93,12.56,12.91,12.91,363900.0,2021-07-15T00:00:00,CARS
8,13.06,13.175,12.61,12.75,12.75,437000.0,2021-07-16T00:00:00,CARS
9,12.24,12.472,12.07,12.2,12.2,291200.0,2021-07-19T00:00:00,CARS
10,12.36,12.83,12.2,12.6,12.6,424000.0,2021-07-20T00:00:00,CARS
11,12.79,13.33,12.73,13.1,13.1,339600.0,2021-07-21T00:00:00,CARS
12,12.97,12.97,12.37,12.57,12.57,315900.0,2021-07-22T00:00:00,CARS
13,12.77,12.77,12.24,12.29,12.29,318300.0,2021-07-23T00:00:00,CARS
14,12.37,12.7,12.24,12.45,12.45,261800.0,2021-07-26T00:00:00,CARS
15,12.23,12.26,11.83,12.04,12.04,363400.0,2021-07-27T00:00:00,CARS
16,12.18,12.3,11.98,12.15,12.15,322700.0,2021-07-28T00:00:00,CARS
17,12.25,12.53,12.2,12.33,12.33,355500.0,2021-07-29T00:00:00,CARS
18,12.21,12.37,11.92,12.08,12.08,284600.0,2021-07-30T00:00:00,CARS
19,12.17,12.45,12.14,12.22,12.22,313200.0,2021-08-02T00:00:00,CARS
20,12.25,12.39,12.01,12.14,12.14,821700.0,2021-08-03T00:00:00,CARS
21,11.97,12.27,11.73,11.75,11.75,486900.0,2021-08-04T00:00:00,CARS
22,12.13,13.13,12.0,12.93,12.93,773900.0,2021-08-05T00:00:00,CARS
23,13.25,13.57,13.01,13.04,13.04,797400.0,2021-08-06T00:00:00,CARS
24,13.01,13.32,12.66,13.19,13.19,598800.0,2021-08-09T00:00:00,CARS
25,13.2,13.605,13.13,13.49,13.49,466700.0,2021-08-10T00:00:00,CARS
26,13.6,13.8,13.47,13.68,13.68,341200.0,2021-08-11T00:00:00,CARS
27,13.65,13.69,13.19,13.53,13.53,322200.0,2021-08-12T00:00:00,CARS
28,13.48,13.485,13.02,13.13,13.13,220600.0,2021-08-13T00:00:00,CARS
29,12.95,12.95,12.54,12.54,12.54,319000.0,2021-08-16T00:00:00,CARS
30,12.32,12.38,11.83,12.02,12.02,422400.0,2021-08-17T00:00:00,CARS
31,12.05,12.32,11.91,11.98,11.98,401500.0,2021-08-18T00:00:00,CARS
32,11.76,11.89,11.53,11.76,11.76,416500.0,2021-08-19T00:00:00,CARS
33,11.76,12.11,11.74,11.85,11.85,350300.0,2021-08-20T00:00:00,CARS
34,11.96,12.115,11.87,11.91,11.91,220800.0,2021-08-23T00:00:00,CARS
35,11.99,12.222,11.9,12.06,12.06,286700.0,2021-08-24T00:00:00,CARS
36,12.03,12.28,11.93,12.11,12.11,274800.0,2021-08-25T00:00:00,CARS
37,12.04,12.2,11.97,12.1,12.1,260300.0,2021-08-26T00:00:00,CARS
38,12.45,13.05,12.41,12.95,12.95,521400.0,2021-08-27T00:00:00,CARS
39,12.97,12.97,12.53,12.76,12.76,367600.0,2021-08-30T00:00:00,CARS
40,12.72,13.03,12.59,12.72,12.72,314000.0,2021-08-31T00:00:00,CARS
41,12.84,13.06,12.647,12.88,12.88,298700.0,2021-09-01T00:00:00,CARS
42,12.93,12.97,12.52,12.58,12.58,363200.0,2021-09-02T00:00:00,CARS
43,12.6,12.7,12.48,12.59,12.59,256300.0,2021-09-03T00:00:00,CARS
44,12.62,12.73,12.16,12.17,12.17,233700.0,2021-09-07T00:00:00,CARS
45,12.1,12.22,11.95,12.14,12.14,302900.0,2021-09-08T00:00:00,CARS
46,12.12,12.44,12.02,12.21,12.21,298200.0,2021-09-09T00:00:00,CARS
47,12.37,12.46,12.23,12.4,12.4,262500.0,2021-09-10T00:00:00,CARS
48,12.5,12.58,12.35,12.53,12.53,413200.0,2021-09-13T00:00:00,CARS
49,12.61,12.665,12.34,12.41,12.41,434400.0,2021-09-14T00:00:00,CARS
50,12.41,12.74,12.2,12.66,12.66,469500.0,2021-09-15T00:00:00,CARS
51,12.73,12.795,12.54,12.67,12.67,352400.0,2021-09-16T00:00:00,CARS
52,12.7,12.86,12.33,12.64,12.64,1090900.0,2021-09-17T00:00:00,CARS
53,12.25,12.59,12.13,12.57,12.57,513100.0,2021-09-20T00:00:00,CARS
54,12.62,12.68,12.35,12.43,12.43,362700.0,2021-09-21T00:00:00,CARS
55,12.5,12.91,12.5,12.58,12.58,322400.0,2021-09-22T00:00:00,CARS
56,12.68,12.84,12.61,12.72,12.72,516100.0,2021-09-23T00:00:00,CARS
57,12.65,13.28,12.59,13.24,13.24,399800.0,2021-09-24T00:00:00,CARS
58,13.23,13.38,12.97,13.18,13.18,472700.0,2021-09-27T00:00:00,CARS
59,13.05,13.176,12.75,12.95,12.95,558500.0,2021-09-28T00:00:00,CARS
60,13.04,13.23,12.76,12.78,12.78,346500.0,2021-09-29T00:00:00,CARS
61,12.78,12.96,12.51,12.65,12.65,452000.0,2021-09-30T00:00:00,CARS
62,12.73,12.98,12.52,12.83,12.83,352900.0,2021-10-01T00:00:00,CARS
63,12.76,12.8,12.21,12.25,12.25,247900.0,2021-10-04T00:00:00,CARS
64,12.23,12.44,12.05,12.06,12.06,313600.0,2021-10-05T00:00:00,CARS
65,11.92,12.03,11.8,11.83,11.83,354200.0,2021-10-06T00:00:00,CARS
66,11.9,12.235,11.9,12.15,12.15,386800.0,2021-10-07T00:00:00,CARS
67,12.16,12.22,12.01,12.12,12.12,269200.0,2021-10-08T00:00:00,CARS
68,12.125,12.45,12.03,12.07,12.07,351400.0,2021-10-11T00:00:00,CARS
69,12.1,12.121,11.84,12.07,12.07,525900.0,2021-10-12T00:00:00,CARS
70,12.08,12.215,11.94,12.17,12.17,514900.0,2021-10-13T00:00:00,CARS
71,12.32,12.43,12.11,12.3,12.3,380300.0,2021-10-14T00:00:00,CARS
72,12.56,12.67,12.23,12.25,12.25,536500.0,2021-10-15T00:00:00,CARS
73,12.17,12.25,11.93,12.23,12.23,618900.0,2021-10-18T00:00:00,CARS
74,12.2,12.61,12.11,12.57,12.57,381500.0,2021-10-19T00:00:00,CARS
75,12.56,12.56,12.33,12.52,12.52,578000.0,2021-10-20T00:00:00,CARS
76,12.53,12.78,12.45,12.71,12.71,494100.0,2021-10-21T00:00:00,CARS
77,12.71,12.86,12.6,12.68,12.68,576900.0,2021-10-22T00:00:00,CARS
78,12.69,13.15,12.5,13.09,13.09,670300.0,2021-10-25T00:00:00,CARS
79,13.2,13.56,13.05,13.31,13.31,678700.0,2021-10-26T00:00:00,CARS
80,13.26,13.325,12.82,12.84,12.84,477600.0,2021-10-27T00:00:00,CARS
81,12.92,13.06,12.8,12.98,12.98,326700.0,2021-10-28T00:00:00,CARS
82,12.87,13.11,12.85,13.02,13.02,424000.0,2021-10-29T00:00:00,CARS
83,13.08,13.59,13.08,13.53,13.53,461900.0,2021-11-01T00:00:00,CARS
84,13.53,14.2,13.22,13.45,13.45,1101300.0,2021-11-02T00:00:00,CARS
85,13.28,13.67,13.271,13.28,13.28,544400.0,2021-11-03T00:00:00,CARS
86,13.775,13.82,12.8,13.66,13.66,980300.0,2021-11-04T00:00:00,CARS
87,13.99,14.25,13.525,13.67,13.67,579600.0,2021-11-05T00:00:00,CARS
88,13.65,14.18,13.43,13.72,13.72,372300.0,2021-11-08T00:00:00,CARS
89,13.72,13.87,13.43,13.61,13.61,476700.0,2021-11-09T00:00:00,CARS
90,13.54,13.82,13.35,13.49,13.49,408300.0,2021-11-10T00:00:00,CARS
91,13.54,13.66,13.28,13.3,13.3,372500.0,2021-11-11T00:00:00,CARS
92,13.27,13.36,13.08,13.13,13.13,503600.0,2021-11-12T00:00:00,CARS
93,13.37,13.45,12.975,13.16,13.16,754500.0,2021-11-15T00:00:00,CARS
94,13.06,13.12,12.8,13.01,13.01,528900.0,2021-11-16T00:00:00,CARS
95,13.1,13.135,12.64,12.76,12.76,457200.0,2021-11-17T00:00:00,CARS
96,12.79,12.79,12.2,12.47,12.47,553700.0,2021-11-18T00:00:00,CARS
97,12.3,12.59,12.29,12.47,12.47,425000.0,2021-11-19T00:00:00,CARS
98,12.65,13.0,12.46,12.96,12.96,597700.0,2021-11-22T00:00:00,CARS
99,13.0,13.33,12.88,13.27,13.27,755200.0,2021-11-23T00:00:00,CARS
100,13.205,13.62,13.04,13.31,13.31,528500.0,2021-11-24T00:00:00,CARS
101,14.43,16.200001,14.38,16.120001,16.120001,5244000.0,2021-11-26T00:00:00,CARS
102,16.1,17.379999,15.98,16.969999,16.969999,3760600.0,2021-11-29T00:00:00,CARS
103,16.809999,17.4,16.18,16.68,16.68,2748100.0,2021-11-30T00:00:00,CARS
104,17.0,17.66,16.299,16.57,16.57,13366500.0,2021-12-01T00:00:00,CARS
105,16.34,16.73,15.73,16.6,16.6,1912800.0,2021-12-02T00:00:00,CARS
106,16.65,16.799999,15.99,16.23,16.23,1089100.0,2021-12-03T00:00:00,CARS
107,16.34,17.0,16.01,16.91,16.91,922500.0,2021-12-06T00:00:00,CARS
108,17.15,18.069,17.110001,17.540001,17.540001,1495000.0,2021-12-07T00:00:00,CARS
109,17.75,19.09,17.674999,19.040001,19.040001,2443700.0,2021-12-08T00:00:00,CARS
110,18.76,19.01,18.02,18.15,18.15,913500.0,2021-12-09T00:00:00,CARS
